location,site_no,date,conc,metric,units
USGSStation,11206820,2021-01-20,0.76,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-03-23,0.26,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-04-06,0.45,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-04-19,0.28,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-05-10,0.09,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-05-24,0.08,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-06-08,0.04,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-06-22,0.05,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-07-20,0.08,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-08-24,0.1,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-09-07,0.12,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2021-11-02,0.8,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-02-01,0.15,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-03-22,0.15,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-04-13,0.17,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-04-26,0.12,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-05-17,0.09,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-05-24,0.05,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-06-07,0.03,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-06-21,0.01,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-07-19,0.03,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-08-30,0.1,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-09-20,0.25,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-10-18,0.17,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-11-01,0.18,NO3N_NO2N_filt,mg/L
USGSStation,11206820,2022-12-14,0.01,NO3N_NO2N_filt,mg/L
